Initialization Time: 690.155
Query, response, time
1:1099825 1174581 (651.260.34.647)+ 1+, 0, 0.00018494
2:224872 1614880 (651U547U649U179U12U38U497U444)+ 1+, 1, 0.00514394
3:1580604 1611803 (36U12U261U664)+ 1+, 0, 4.594e-05
4:919232 374823 ((179)+).((183)+) 1+, 1, 0.00104494
5:28739 680186 ((182)+).((9)+).((645)+).((8)+) 1+, 0, 4.694e-05
6:363585 898742 (179U651U33U12)+ 1+, 1, 0.00171194
7:1052007 1622560 (179.183.15.36.12.649.12.645)+ 1+, 0, 0.00015094
8:1672351 1633945 ((15)+).((459)+).((179)+).((651)+).((10)+).((36)+).((651)+).((12)+) 1+, 0, 5.094e-05
9:1230528 786624 ((36)+).((179)+).((446)+).((444)+) 1+, 0, 0.00029594
10:369120 638315 (648U264)+ 1+, 0, 0.00010394
11:309625 579146 ((12)+).((8)+).((10)+).((15)+).((182)+).((50)+) 1+, 0, 4.894e-05
12:1114031 814679 (645U179U266U34)+ 1+, 0, 3.394e-05
13:1056330 1293369 (263.647.179.183.50.179.9.179)+ 1+, 0, 6.594e-05
14:789107 1461615 (645.179.14.36.34.32.12.50)+ 1+, 0, 9.394e-05
15:83536 440636 (182U645U36U179U139U12)+ 1+, 0, 3.394e-05
16:56642 281203 (646.35.34.39)+ 1+, 0, 8.894e-05
17:1040173 372581 (497U35U178U646U446U97U12U10)+ 1+, 1, 0.00265094
18:520906 530653 (651.12.9.12)+ 1+, 0, 0.00014294
19:1088170 893986 (664U649)+ 1+, 0, 0.00012994
20:111851 541338 (36.649.182.12.15.183)+ 1+, 0, 3.694e-05
21:1033942 595779 ((14)+).((12)+).((179)+).((15)+).((36)+).((645)+) 1+, 0, 4.494e-05
22:141582 1390246 (9.183.38.534)+ 1+, 0, 3.994e-05
23:1128479 907746 ((446)+).((15)+) 1+, 0, 9.094e-05
24:769220 1659254 (179.12.32.14.408.179.38.15)+ 1+, 0, 5.394e-05
25:996719 1050870 ((36)+).((651)+).((179)+).((36)+).((651)+).((249)+).((651)+).((50)+) 1+, 0, 0.00013194
26:1525967 49884 (179U35)+ 1+, 1, 0.00155494
27:867306 763536 ((179)+).((36)+).((34)+).((36)+) 1+, 0, 9.294e-05
28:1720644 684957 ((179)+).((36)+).((179)+).((34)+).((36)+).((15)+).((651)+).((264)+) 1+, 0, 0.0216479
29:824625 941953 ((631)+).((180)+).((179)+).((34)+).((648)+).((179)+) 1+, 0, 0.00010394
30:528935 347544 (35.36)+ 1+, 0, 4.094e-05
31:1745816 1274949 ((460)+).((36)+).((179)+).((15)+).((40)+).((179)+) 1+, 0, 3.194e-05
32:205903 817287 (12.178.260.443.36.34)+ 1+, 0, 3.794e-05
33:1325843 1330083 (651.178.651.446.647.179)+ 1+, 0, 3.094e-05
34:1523217 866675 (9.179.36.651.179.264.12.179)+ 1+, 0, 3.894e-05
35:235840 1382718 (7U649U32U182)+ 1+, 0, 0.00016894
36:647074 1013092 (35.12)+ 1+, 0, 3.294e-05
37:258840 775040 (39U36)+ 1+, 0, 0.00011994
38:1312794 1011575 ((36)+).((15)+).((179)+).((468)+) 1+, 0, 4.194e-05
39:64279 1567424 ((15)+).((179)+).((36)+).((179)+).((36)+).((179)+).((12)+).((266)+) 1+, 0, 7.894e-05
40:1068745 502007 ((36)+).((12)+).((183)+).((9)+).((179)+).((12)+).((179)+).((651)+) 1+, 0, 0.0500059
41:124043 13819 (662U32)+ 1+, 0, 4.594e-05
42:757001 515017 ((179)+).((12)+).((179)+).((651)+).((639)+).((179)+).((36)+).((674)+) 1+, 0, 0.0484719
43:1139140 1314554 (179U645U647U12U35U36U662U264)+ 1+, 0, 0.00014794
44:110189 222643 (446U183U15U179U12U36U468U645)+ 1+, 1, 0.00432894
45:80733 1011192 (39.446)+ 1+, 0, 3.894e-05
46:1120232 111482 (12U262U36U664U179U6U631U443)+ 1+, 0, 0.00025194
47:391858 1156665 (662.12.645.178.191.446)+ 1+, 0, 6.194e-05
48:1025497 410647 (179.444)+ 1+, 1, 0.00165994
49:836325 712667 ((646)+).((34)+).((645)+).((12)+) 1+, 0, 0.00150094
50:947194 588712 ((34)+).((36)+).((178)+).((644)+).((46)+).((646)+).((12)+).((15)+) 1+, 0, 3.794e-05
51:1007912 440410 (12.15)+ 1+, 0, 0.00036794
52:789206 1064891 (36U645U178U179)+ 1+, 0, 0.00211294
53:1637494 182747 ((533)+).((446)+) 1+, 0, 3.394e-05
54:1513205 1286284 (179.645)+ 1+, 1, 0.00131494
55:1076042 800044 (36U35U9U38U179U12)+ 1+, 0, 5.094e-05
56:1347285 707144 (182U645)+ 1+, 1, 0.00022094
57:1534837 816783 ((36)+).((53)+).((468)+).((179)+).((12)+).((32)+).((36)+).((444)+) 1+, 0, 3.694e-05
58:191470 1301829 (34.36)+ 1+, 0, 4.994e-05
59:792782 1432745 (12U179U647U36U459U14)+ 1+, 1, 0.00267594
60:383321 804388 (179U12)+ 1+, 0, 0.00174794
61:691444 905365 (179U646U36U189)+ 1+, 1, 0.00328894
62:52616 836388 ((39)+).((12)+).((648)+).((179)+).((46)+).((12)+) 1+, 0, 3.394e-05
63:563824 1143135 ((645)+).((651)+) 1+, 1, 0.00411094
64:23888 244161 (179U97)+ 1+, 0, 0.00064594
65:492150 668510 (12U179U9U662)+ 1+, 1, 0.00642894
66:569635 809761 ((40)+).((179)+).((546)+).((12)+) 1+, 0, 3.894e-05
67:1423153 984283 ((534)+).((179)+).((651)+).((179)+) 1+, 0, 6.094e-05
68:584079 399973 ((649)+).((36)+) 1+, 0, 4.494e-05
69:567783 55575 ((36)+).((536)+).((179)+).((12)+).((645)+).((179)+) 1+, 0, 2.494e-05
70:87393 1087094 ((36)+).((12)+).((179)+).((490)+).((179)+).((645)+).((36)+).((12)+) 1+, 0, 3.994e-05
71:623759 75779 ((179)+).((15)+) 1+, 1, 0.00514394
72:254087 1088317 (178.179)+ 1+, 0, 4.594e-05
73:508058 1114095 (649.12.183.36.39.181)+ 1+, 0, 5.794e-05
74:518708 508582 (15U12)+ 1+, 0, 0.00105394
75:1127194 570081 (14.585.8.179.645.179)+ 1+, 0, 4.994e-05
76:661594 775052 (179.12.179.15)+ 1+, 0, 4.694e-05
77:494280 1206916 ((182)+).((664)+) 1+, 0, 4.194e-05
78:759868 430218 (648U179)+ 1+, 1, 0.00482694
79:806725 1162314 ((36)+).((181)+).((182)+).((645)+).((664)+).((46)+) 1+, 0, 0.00638194
80:589556 900728 (12.179.36.178.179.15.264.33)+ 1+, 0, 0.00036394
81:511815 371487 (183U179U35U12U34U37U36U15)+ 1+, 1, 0.00464094
82:129024 92602 (534.36)+ 1+, 0, 2.694e-05
83:887554 1493595 ((645)+).((36)+).((179)+).((647)+).((14)+).((15)+).((179)+).((468)+) 1+, 0, 0.00012694
84:1739460 776012 (36U179U534U258U33U646U15U663)+ 1+, 1, 0.00176994
85:1639900 742643 (651.179.36.12.183.36.45.183)+ 1+, 0, 3.394e-05
86:692212 1645699 (9U12)+ 1+, 0, 3.694e-05
87:1257348 1429351 ((179)+).((36)+).((645)+).((36)+).((652)+).((660)+) 1+, 0, 5.494e-05
88:1379934 634759 ((15)+).((34)+).((14)+).((179)+).((188)+).((674)+).((179)+).((459)+) 1+, 0, 3.594e-05
89:533993 745051 ((15)+).((12)+).((182)+).((36)+) 1+, 0, 3.894e-05
90:862546 81089 (645.179.50.179.35.447)+ 1+, 0, 9.494e-05
91:426643 1429584 (14.36.468.179.34.12)+ 1+, 0, 7.894e-05
92:535736 1593179 (179U12U626U35U651U14)+ 1+, 1, 0.00308994
93:1715679 756250 ((39)+).((36)+) 1+, 0, 6.294e-05
94:1393398 709879 (36U9U539U12U179U50U35U40)+ 1+, 1, 0.00436694
95:635353 817969 ((34)+).((12)+).((36)+).((179)+) 1+, 0, 0.00235794
96:962778 1131435 ((39)+).((12)+).((649)+).((646)+).((36)+).((178)+).((645)+).((36)+) 1+, 0, 6.094e-05
97:63712 739737 (534U179)+ 1+, 1, 0.00403194
98:1473106 1456140 ((12)+).((468)+).((261)+).((179)+) 1+, 0, 0.00010094
99:748973 1210566 ((12)+).((651)+) 1+, 0, 0.00109994
100:556283 49418 ((179)+).((540)+).((37)+).((36)+).((179)+).((664)+) 1+, 0, 0.00014894
101:1237119 180658 ((649)+).((12)+).((36)+).((50)+).((12)+).((179)+) 1+, 0, 4.794e-05
102:1477488 484542 ((12)+).((446)+).((178)+).((645)+).((149)+).((645)+) 1+, 0, 4.594e-05
103:1405450 975444 (46.36.12.181)+ 1+, 0, 4.794e-05
104:1072364 1598348 ((179)+).((651)+).((181)+).((651)+).((647)+).((179)+) 1+, 1, 0.0141569
