Initialization Time: 3528.74
Query, response, time
1:3192522 3534193 (28.1)+ 1+, 0, 0.00094386
2:3657102 2265912 (1U2)+ 1+, 1, 0.0638699
3:562100 511528 (179U1U3U49)+ 1+, 1, 0.0410069
4:3527360 3008637 (1.5.1.56.7.8)+ 1+, 0, 0.00015986
5:3546523 1962977 (4.1.3.1.28.1.3.9)+ 1+, 0, 3.786e-05
6:2283128 2248063 ((1)+).((2)+).((1)+).((22)+).((4)+).((5)+) 1+, 0, 0.00296986
7:1520090 492425 (22U1U11U2)+ 1+, 0, 1.386e-05
8:1989406 667186 (8.1)+ 1+, 0, 0.00014486
9:2307052 3408201 (1U4U16U3)+ 1+, 1, 0.0240739
10:2380893 463995 (12.9)+ 1+, 0, 0.00028286
11:2584495 2301248 (12U7U8U2)+ 1+, 0, 0.00055786
12:2056833 1219749 (247U219U1U2)+ 1+, 0, 0.00193186
13:2744437 467883 ((1)+).((3)+).((177)+).((14)+).((12)+).((45)+).((199)+).((204)+) 1+, 0, 0.00379686
14:797631 286920 (3.1.115.96)+ 1+, 0, 6.086e-05
15:3272912 3291367 (1.29.1.2.11.14.1.2)+ 1+, 0, 0.00010586
16:933785 3005768 (6.3)+ 1+, 1, 0.0166549
17:221417 2244719 (7U1)+ 1+, 1, 0.00986486
18:1486853 1870503 (33.35.9.149.17.10)+ 1+, 0, 6.486e-05
19:1390688 2784395 (3.8)+ 1+, 0, 2.486e-05
20:1701526 178287 (34U18)+ 1+, 0, 0.00103086
21:657334 141707 (15.12.43.5)+ 1+, 0, 2.986e-05
22:3657275 2666159 (48.1.23.1)+ 1+, 0, 1.786e-05
23:2608969 2750713 (1.32.17.1.19.11.1.195)+ 1+, 0, 0.00045986
24:1466062 45972 (83.16.12.3)+ 1+, 0, 0.00016286
25:2578428 746218 ((88)+).((6)+).((2)+).((7)+).((4)+).((3)+).((1)+).((13)+) 1+, 0, 0.00048086
26:2919999 1452822 (3U1U70U109U4U2U49U73)+ 1+, 0, 0.00061286
27:2182049 3630514 (1.170.2.1.2.1)+ 1+, 0, 5.086e-05
28:1066591 1355161 (8U4U1U58U156U5U13U3)+ 1+, 0, 0.00059886
29:713189 3499755 (4U226U1U2U8U199)+ 1+, 1, 0.00845486
30:3111795 971112 ((1)+).((3)+).((2)+).((1)+).((2)+).((1)+) 1+, 0, 0.00059286
31:535107 970167 ((27)+).((33)+).((6)+).((7)+).((2)+).((1)+).((3)+).((2)+) 1+, 0, 0.00010986
32:167126 857388 (1.77.8.3.27.1.68.83)+ 1+, 0, 0.00028886
33:89575 40400 ((4)+).((6)+).((49)+).((3)+) 1+, 0, 1.886e-05
34:1939492 1512223 ((1)+).((67)+).((6)+).((1)+) 1+, 0, 0.00053886
35:2291700 1038916 (10.6.1.2.1.10)+ 1+, 0, 0.00025386
36:1062698 2374069 (1U14U57U3U114U18)+ 1+, 0, 0.00059386
37:2179752 2399894 ((43)+).((5)+).((98)+).((107)+) 1+, 0, 3.586e-05
38:844183 2777357 (24.5.155.2.15.1)+ 1+, 0, 0.00017686
39:291472 1590832 (1.72.17.27.14.22.1.111)+ 1+, 0, 0.00013686
40:1656035 725502 ((1)+).((7)+) 1+, 0, 0.00249386
41:1297809 1237851 (28.3)+ 1+, 0, 6.586e-05
42:832163 2096152 ((1)+).((55)+).((34)+).((50)+).((34)+).((3)+) 1+, 0, 0.00242086
43:892958 3588785 (1.116)+ 1+, 0, 0.00016086
44:1579900 1487476 (1.29)+ 1+, 0, 1.086e-05
45:1657444 555547 (159U26U53U14U31U38)+ 1+, 1, 0.0105359
46:2254082 3325982 ((1)+).((129)+).((2)+).((5)+).((69)+).((15)+) 1+, 0, 0.00472886
47:3068326 1066093 (2.39.143.1)+ 1+, 1, 0.0121719
48:773687 227448 (17U1U210U6)+ 1+, 1, 0.0170709
49:1455493 2560129 ((23)+).((1)+).((36)+).((7)+).((1)+).((116)+) 1+, 0, 7.286e-05
50:2931599 1827315 (1.2.14.58.1.7.3.10)+ 1+, 0, 0.00032586
51:1367993 964026 (2U24U23U1U40U3)+ 1+, 1, 0.00453986
52:657161 3211239 (7U1)+ 1+, 0, 9.686e-05
53:3521552 2571089 (46.3.11.1)+ 1+, 0, 7.486e-05
54:3043039 501683 ((1)+).((10)+).((1)+).((186)+).((1)+).((177)+).((34)+).((1)+) 1+, 0, 0.00055286
55:3324639 2613879 (9U3)+ 1+, 0, 0.00042186
56:1438316 1212072 (1.117)+ 1+, 0, 0.00043286
57:3568493 1551840 ((13)+).((1)+).((81)+).((1)+).((2)+).((22)+).((1)+).((26)+) 1+, 0, 6.786e-05
58:2178404 3597127 ((3)+).((1)+).((103)+).((4)+) 1+, 0, 0.00347686
59:3430852 2113973 ((27)+).((2)+) 1+, 0, 8.986e-05
60:793128 1882774 ((8)+).((1)+).((2)+).((16)+).((1)+).((94)+).((1)+).((2)+) 1+, 0, 0.246136
61:2066658 3172600 (1.26.2.1)+ 1+, 0, 0.00065186
62:737730 227100 ((41)+).((26)+).((19)+).((14)+).((1)+).((3)+).((9)+).((38)+) 1+, 0, 4.586e-05
63:756783 149318 (2.62)+ 1+, 0, 0.00013586
64:2772428 788642 (2.11.1.147.9.2)+ 1+, 0, 8.086e-05
65:3291026 93053 ((1)+).((69)+) 1+, 0, 0.00167386
66:2361592 531113 ((217)+).((21)+).((6)+).((1)+).((3)+).((1)+) 1+, 0, 0.00064986
67:2880524 3279144 (3.10.3.1.165.22.3.15)+ 1+, 0, 0.00021086
68:352186 3161458 ((1)+).((2)+).((1)+).((47)+).((1)+).((57)+) 1+, 0, 0.00111686
69:610057 3066190 (1U14)+ 1+, 1, 0.0155149
70:214632 2268214 ((4)+).((3)+).((1)+).((11)+) 1+, 0, 5.086e-05
71:3641044 2843297 ((26)+).((1)+).((8)+).((1)+) 1+, 0, 2.486e-05
72:3419218 1649766 ((1)+).((12)+) 1+, 0, 0.00170386
73:1454831 906941 (3.1.3.1)+ 1+, 1, 0.0251669
74:1984896 2017368 (1U68U21U4)+ 1+, 1, 0.0261899
75:2658791 143608 (12.3.2.1)+ 1+, 0, 0.00015786
76:916589 632724 ((15)+).((1)+).((2)+).((1)+) 1+, 0, 8.386e-05
77:2871459 2486244 (9.84)+ 1+, 0, 2.186e-05
78:651489 1975662 (1U138U65U10U67U2U3U5)+ 1+, 1, 0.0102599
79:2581572 921009 (1U3)+ 1+, 0, 0.00049686
80:2142561 3618249 ((34)+).((1)+).((2)+).((1)+) 1+, 0, 0.168781
81:2659111 1276359 (1U19)+ 1+, 1, 0.00923786
82:1764365 2034863 (73.4.35.7.19.23.138.2)+ 1+, 0, 7.586e-05
83:334947 3427016 (1U3U8U35U61U12)+ 1+, 1, 0.0105789
84:2198020 2749714 ((1)+).((69)+).((112)+).((7)+).((2)+).((3)+) 1+, 0, 0.00042886
85:3168470 278412 ((1)+).((43)+).((213)+).((1)+) 1+, 0, 0.162655
86:2911287 87183 (15.3.1.5.2.59)+ 1+, 0, 2.986e-05
87:1593819 360208 ((8)+).((1)+).((58)+).((5)+).((1)+).((8)+) 1+, 0, 7.886e-05
88:2382258 2991696 (1U146U5U2U3U238U89U13)+ 1+, 1, 0.00611486
89:1543190 888390 (13U2U178U61)+ 1+, 0, 0.00015486
90:1037762 356862 (3U9U14U31)+ 1+, 0, 0.00140886
91:2057571 1744974 (1U4U98U165)+ 1+, 1, 0.0150449
92:3612942 1976390 (2U1U9U29)+ 1+, 1, 0.00848386
93:2615741 2677402 (8.1.2.4.3.10)+ 1+, 0, 7.486e-05
94:2577628 3474579 (1.216.21.1.3.11)+ 1+, 0, 0.00016286
95:3575189 3349124 (6.2.19.3.6.47.2.1)+ 1+, 0, 0.0267079
96:32318 2230790 (1U7U48U23U2U27U6U26)+ 1+, 1, 0.00141486
97:3358415 2649198 ((2)+).((74)+).((34)+).((112)+) 1+, 0, 0.00011986
98:2744655 1128981 (1.12.149.7.1.6.1.3)+ 1+, 0, 0.00201386
99:935362 1040436 (7U17U1U3U28U4U2U104)+ 1+, 1, 0.00866686
100:170173 1963160 (3U6U13U2U1U162U4U47)+ 1+, 1, 0.00690986
101:301968 1023788 (1U4U3U6)+ 1+, 1, 0.00602586
102:3266191 2566652 (1U2U3U61)+ 1+, 0, 0.0445109
103:1531685 2097976 (4.26)+ 1+, 0, 5.686e-05
104:650264 956283 (1.3.1.3)+ 1+, 0, 0.00017686
105:2867225 2151073 ((35)+).((2)+).((40)+).((1)+).((3)+).((2)+) 1+, 0, 0.00011086
106:642994 3495849 (7.3.14.20.1.12.1.3)+ 1+, 0, 0.00049086
107:1956132 1976578 (1.50)+ 1+, 0, 1.886e-05
108:3079973 2075028 ((52)+).((1)+).((3)+).((4)+).((16)+).((1)+) 1+, 0, 0.139806
109:742593 2802845 ((17)+).((1)+).((33)+).((1)+).((27)+).((3)+).((23)+).((1)+) 1+, 0, 0.00011686
110:1234056 2788193 (28U1)+ 1+, 1, 0.0163749
111:2066076 555113 (1U45U26U8)+ 1+, 1, 0.0167719
112:1152286 329330 (1.3.5.7)+ 1+, 1, 0.0152269
113:2135820 1604527 (3U2U8U27U43U1U13U12)+ 1+, 1, 0.0101269
114:2201338 1458014 ((63)+).((5)+) 1+, 0, 0.00014886
115:765221 2337693 (3.7.1.13.29.1.84.1)+ 1+, 0, 8.086e-05
116:667706 1809463 (105U9U4U2U106U6)+ 1+, 1, 0.00787686
117:3399536 3011751 (100.29.55.1)+ 1+, 0, 6.086e-05
118:2272085 201095 (88U5U3U16)+ 1+, 0, 0.00092786
119:58858 3408956 (1.37)+ 1+, 0, 3.086e-05
120:2175258 621744 (1.3.1.3)+ 1+, 0, 0.00012786
121:2991091 3529899 (29.1.2.36.3.9.1.249)+ 1+, 0, 2.386e-05
122:610126 1151213 (7.3.1.3.20.1)+ 1+, 0, 0.00338086
123:2893578 2438764 ((1)+).((17)+).((33)+).((1)+).((13)+).((129)+).((1)+).((67)+) 1+, 0, 0.00142886
124:659664 1694226 ((1)+).((10)+).((1)+).((5)+).((1)+).((3)+).((75)+).((4)+) 1+, 0, 0.00142586
125:592108 1484092 (1U2)+ 1+, 1, 0.00565886
126:1970478 1626359 (1U13)+ 1+, 0, 0.00321986
127:1220925 477840 (1U152U3U2)+ 1+, 1, 0.0249529
128:3106138 2690274 (160U1)+ 1+, 1, 0.00899286
129:3432418 773544 ((7)+).((108)+) 1+, 0, 0.00082486
130:1657957 2542119 (17.6.12.6)+ 1+, 0, 3.286e-05
131:3385410 2092483 ((1)+).((5)+).((14)+).((149)+) 1+, 0, 0.00129386
132:3197241 3437082 (11.26)+ 1+, 0, 3.586e-05
133:2941360 3393462 ((2)+).((27)+).((2)+).((58)+).((5)+).((1)+) 1+, 0, 9.86e-06
134:305425 2714746 (42.8.1.4.1.26)+ 1+, 0, 1.386e-05
135:1724998 1815072 (1.5)+ 1+, 0, 0.00020086
136:1547657 759820 (1U2U3U11U93U14)+ 1+, 1, 0.00579986
137:627633 2512947 (6.15.133.1)+ 1+, 0, 0.00265986
138:313586 987319 ((1)+).((11)+) 1+, 0, 0.00193686
139:1840352 3087476 ((12)+).((2)+).((5)+).((13)+) 1+, 0, 4.686e-05
140:3505878 473750 (1.3.5.14.37.13.1.3)+ 1+, 0, 0.00016186
141:2003270 767074 ((134)+).((4)+) 1+, 0, 3.486e-05
142:575549 723300 (1.73.1.18.2.6.24.117)+ 1+, 0, 0.00012086
143:2385387 2634411 (1U10U4U14U8U6U13U2)+ 1+, 1, 0.00634486
144:2777976 2167087 ((1)+).((22)+).((66)+).((2)+).((95)+).((2)+).((1)+).((47)+) 1+, 0, 0.00225886
145:661482 682297 ((1)+).((178)+).((118)+).((1)+) 1+, 0, 0.00043386
146:600403 3151934 (3.9.1.7)+ 1+, 0, 9.886e-05
147:1930337 520939 ((1)+).((11)+) 1+, 0, 0.00085786
148:2920749 2179292 (4U129U43U2)+ 1+, 0, 5.086e-05
149:832386 2097009 (12.2.1.36.2.1)+ 1+, 0, 0.00014986
150:39610 1642110 (1U30U2U5U7U8)+ 1+, 1, 0.00900086
151:743899 1769469 (1U14U4U27)+ 1+, 1, 0.00975886
152:3153905 2894614 (25.8.3.9.1.20.15.11)+ 1+, 0, 7.786e-05
153:2727379 2787489 ((1)+).((2)+).((1)+).((20)+) 1+, 0, 0.00135286
154:2483558 2664739 (1.6.1.72.1.2.6.4)+ 1+, 0, 4.486e-05
155:3098896 2044019 ((1)+).((2)+).((1)+).((74)+) 1+, 0, 0.00122586
156:1077184 82965 ((7)+).((3)+) 1+, 0, 0.00131586
157:575586 3441421 (7.13.1.20.77.116)+ 1+, 0, 0.00012886
158:3465970 1403930 (1U66U38U11U2U3U8U121)+ 1+, 1, 0.0152339
159:1032898 2722793 ((76)+).((86)+).((2)+).((1)+) 1+, 0, 0.00019186
160:1356014 941617 (3.7.2.3)+ 1+, 0, 0.00056286
161:3338202 265321 (1.73.9.233.2.77.20.2)+ 1+, 0, 0.00062086
162:3224488 2461961 (25.2.10.2.1.21.30.15)+ 1+, 0, 0.00055286
163:432933 102016 ((1)+).((33)+).((4)+).((27)+).((25)+).((19)+).((1)+).((3)+) 1+, 0, 0.00097786
