Initialization Time: 10.2061
Query, response, time
1:16254 5953 ((6212)+).((5493)+).((2644)+).((8268)+).((13342)+).((3231)+).((12156)+).((10668)+) 1+, 0, 3.992e-05
2:34456 86856 ((6274)+).((5493)+).((6228)+).((5495)+) 1+, 0, 1.992e-05
3:15813 17223 (17362.6325)+ 1+, 0, 0.00042892
4:8437 89237 ((6212)+).((16757)+) 1+, 0, 0.00040192
5:3964 11117 ((5493)+).((13067)+).((11431)+).((3417)+).((8931)+).((5493)+).((16812)+).((5493)+) 1+, 0, 1.592e-05
6:19628 4092 (7721.5493.5495.11958.5493.482.15902.15308)+ 1+, 0, 1.492e-05
7:34754 80439 ((6212)+).((16812)+) 1+, 0, 1.592e-05
8:4327 26983 (7445.8721.15115.7721.5493.7403.5493.5494)+ 1+, 0, 4.792e-05
9:85956 65324 (6274U10025U6213U8945)+ 1+, 0, 1.592e-05
10:60339 104837 (15960U13418U12006U5493)+ 1+, 1, 0.00482792
11:65678 62178 (8721.2203)+ 1+, 0, 7.892e-05
12:86054 11668 ((6327)+).((5493)+).((13067)+).((5493)+) 1+, 0, 0.0157929
13:71624 84526 (17495.5493.5495.923)+ 1+, 0, 0.00045792
14:58762 13291 (5494U8268)+ 1+, 1, 0.00234692
15:106381 48650 (5493U5495)+ 1+, 1, 0.00107592
16:85807 90023 (13067U6228U1891U5495U16317U3288U5002U2410)+ 1+, 0, 0.00015392
17:27739 35997 ((798)+).((5493)+).((2006)+).((5493)+) 1+, 0, 9.92e-06
18:77865 97167 (5493.5495.10338.17212.6745.5493.5189.17225)+ 1+, 0, 7.92e-06
19:70266 93042 (3282U14521U6810U18855)+ 1+, 0, 0.00030692
20:23259 90608 (5493U6241U18855U12997U7573U13342)+ 1+, 1, 0.00395292
21:70723 84754 (5493U7573U5495U13920U6318U10338)+ 1+, 0, 7.92e-06
22:83063 36515 (13067.5493.5997.5493)+ 1+, 0, 0.00016492
23:95085 23795 (7721U5495)+ 1+, 1, 0.00035792
24:100135 26214 ((5493)+).((13536)+).((5247)+).((5493)+).((3633)+).((15902)+) 1+, 0, 0.0206529
25:81325 68858 (5493U5635U5495U17225)+ 1+, 1, 0.00314692
26:61348 93268 (5493.8268)+ 1+, 0, 8.92e-06
27:1284 69518 (5002.13067.5495.5493.7468.5493.5495.15421)+ 1+, 0, 7.92e-06
28:60854 1751 ((8721)+).((608)+).((5495)+).((7573)+) 1+, 0, 6.692e-05
29:53454 65416 ((8268)+).((3118)+).((15308)+).((552)+).((1675)+).((3633)+) 1+, 0, 7.92e-06
30:9232 58110 (5493.5495.5493.1593.14052.5493.8945.13342)+ 1+, 0, 7.92e-06
31:39897 48140 ((14052)+).((5493)+) 1+, 0, 0.00011792
32:1586 51951 (5493.8510.5493.6212.1675.6745)+ 1+, 0, 0.00023992
33:53941 90106 (5493.5495.608.17248.5493.6281.6274.425)+ 1+, 1, 0.00367992
34:106800 76422 (5493.764.5495.5493.17248.6325.5495.5493)+ 1+, 0, 8.92e-06
35:54551 77319 (5495U14456U5493U7382)+ 1+, 1, 0.00847192
36:68428 24649 (5493U13067U608U13852)+ 1+, 1, 0.00119292
37:81294 4614 ((9925)+).((3288)+).((15561)+).((18855)+).((5493)+).((15115)+).((5493)+).((6213)+) 1+, 0, 0.00017492
38:33449 96538 ((2637)+).((2237)+).((5493)+).((18994)+).((5493)+).((8615)+).((17248)+).((12442)+) 1+, 0, 5.792e-05
39:73304 37639 (8615.8931.16561.2887)+ 1+, 0, 7.92e-06
40:20934 17003 (16448.9333.5493.10338.6228.5493)+ 1+, 1, 0.00412792
41:42107 70893 ((11431)+).((16448)+).((10366)+).((5493)+) 1+, 0, 0.00012092
42:18864 48357 ((5493)+).((6281)+).((10338)+).((5495)+) 1+, 1, 0.00081092
43:8327 17412 (1675U6745U5493U5495)+ 1+, 1, 0.00071092
44:22375 10753 ((5493)+).((9333)+).((6318)+).((5493)+).((17225)+).((5493)+) 1+, 0, 0.00907392
45:10874 26703 (5493U6231U15310U17042)+ 1+, 0, 8.92e-06
46:84164 2139 (5495.7721.2449.13920.6241.13067.5493.5495)+ 1+, 0, 7.92e-06
47:70454 37564 (4331U13067U5493U16757)+ 1+, 1, 0.00165092
48:86384 23773 ((7384)+).((8615)+).((13913)+).((4806)+).((5493)+).((5495)+).((17248)+).((8747)+) 1+, 0, 9.592e-05
49:61849 1131 (6997.2637.1643.552)+ 1+, 0, 8.292e-05
50:99454 66517 (928.2203.5495.18855)+ 1+, 0, 1.092e-05
51:30870 62217 (4223U5493U798U8361U6230U16448U2203U10272)+ 1+, 1, 0.00093192
52:43000 84430 ((6325)+).((5493)+).((7721)+).((16200)+).((5495)+).((8268)+).((1643)+).((7384)+) 1+, 0, 0.00013092
53:26799 87087 ((8268)+).((5493)+).((6911)+).((5495)+) 1+, 0, 7.92e-06
54:12906 12887 (13598.5493.5495.5493.5635.4573.13067.6047)+ 1+, 0, 9.492e-05
55:21230 7950 (5495.2887)+ 1+, 0, 7.92e-06
56:47503 45084 ((6281)+).((15027)+).((6281)+).((923)+) 1+, 0, 0.00020592
57:2037 106725 (11958U12442)+ 1+, 0, 8.592e-05
58:39865 14618 (6213.5495.5493.3898)+ 1+, 0, 7.92e-06
59:71129 58767 ((5189)+).((5559)+).((8721)+).((1643)+) 1+, 0, 2.492e-05
60:64319 31687 (5495.5493)+ 1+, 1, 0.00220992
61:12659 8023 (10338.13067.5493.5495)+ 1+, 0, 0.00020292
62:25275 68784 (9333.5493.1899.13025.1174.6016)+ 1+, 0, 3.492e-05
63:12944 17230 ((8526)+).((8615)+).((5495)+).((17225)+).((608)+).((15115)+) 1+, 0, 0.00045492
64:88654 11929 (17212.5493)+ 1+, 0, 7.92e-06
65:106886 64714 ((5493)+).((6212)+).((6325)+).((5002)+) 1+, 0, 0.00013192
66:60750 94703 (2834.5495.5493.6327)+ 1+, 0, 0.00023892
67:92716 90651 ((14052)+).((8931)+).((5493)+).((3633)+).((5493)+).((2393)+) 1+, 0, 0.00030692
68:16097 24397 ((8931)+).((7721)+).((14456)+).((6168)+).((15902)+).((5493)+) 1+, 0, 7.92e-06
69:99090 100664 (5495.3417)+ 1+, 0, 0.00015692
70:64612 90528 (6274.5495)+ 1+, 1, 0.00146792
71:43175 90332 (8931.14052.5473.5493)+ 1+, 0, 6.292e-05
72:58534 2003 (5495U13134U10366U5493)+ 1+, 0, 7.92e-06
73:87706 48350 (5493U3282)+ 1+, 1, 0.00188492
74:29994 37315 (5493U5494U608U3585)+ 1+, 1, 0.00100392
75:9163 53493 (5495.5493.2237.9928.5473.8268.608.15224)+ 1+, 0, 0.00034292
76:34770 77801 (8268U5997U8765U5493U5495U3529U16757U6281)+ 1+, 0, 7.92e-06
77:47035 60429 ((14052)+).((5493)+) 1+, 0, 6.92e-06
78:51903 21430 ((18822)+).((6318)+) 1+, 0, 6.92e-06
79:71112 11690 (2203.5493.849.8945)+ 1+, 0, 0.00048992
80:15594 86019 (608U5493U5495U6168U8765U16561U1891U125)+ 1+, 1, 0.00066292
81:72146 1081 (5024.5493.13134.5493.18298.5493.6241.5493)+ 1+, 0, 0.00013892
82:4450 3357 ((13067)+).((11955)+).((5493)+).((18377)+).((5473)+).((5997)+) 1+, 0, 7.92e-06
83:81021 64700 ((5495)+).((5493)+).((5495)+).((8931)+).((5493)+).((11958)+) 1+, 0, 2.792e-05
84:82696 33892 ((2203)+).((17362)+).((6212)+).((5495)+).((13067)+).((923)+).((5493)+).((798)+) 1+, 0, 0.00011492
85:73841 74637 (1090.10338)+ 1+, 0, 0.00050892
86:61405 51880 (5493.5247.6047.5493.15115.3288)+ 1+, 0, 0.00017592
87:77065 38092 ((2887)+).((6274)+).((5493)+).((5495)+).((5493)+).((2203)+).((5493)+).((5495)+) 1+, 0, 0.00020792
88:71085 91845 (5493.10668)+ 1+, 0, 0.00032992
89:42605 31946 (5493.6318.13598.6241.5494.5493)+ 1+, 1, 0.0225089
90:46916 49625 (5493U2444U13852U731)+ 1+, 1, 0.00276992
91:92082 49960 (17225U1643U5493U5495U13067U6281U2340U18822)+ 1+, 1, 0.00124292
92:84577 67326 (14052U17248)+ 1+, 0, 8.92e-06
93:58015 53069 (16448U5495U798U5493)+ 1+, 1, 0.00320292
94:57647 73545 (5493.5494.5189.6318.15643.6241.4816.8262)+ 1+, 1, 0.0145209
